Area,Mean,Min,Max,Angle,Length,Inverse,Average Inverse,Alpha Thickness
0.038,232.188,17,255,180,0.732,1.366120219,,
0.09,244.289,80,255,0,1.805,0.55401662,,
0.04,237.235,122,255,180,0.78,1.282051282,,
0.086,208.444,0,255,180,1.707,0.585823081,,
0.019,238.5,180,255,180,0.341,2.93255132,,
0.024,254.9,254,255,0,0.439,2.277904328,,
0.107,253.222,191,255,180,2.146,0.465983225,,
0.102,246.186,19,255,180,2.049,0.488042948,,
0.171,237.236,0,255,180,3.463,0.288766965,,
0.15,242.952,7,255,0,3.024,0.330687831,,
0.14,245.288,24,255,180,2.829,0.353481796,,
0.093,247.538,95,255,180,1.854,0.539374326,,
0.145,223.508,0,255,180,2.927,0.341646737,,
0.148,243.097,0,255,180,2.976,0.336021505,,
0.069,222.034,6,255,180,1.366,0.732064422,,
0.126,236.208,0,255,180,2.537,0.394166338,,
0.107,231.489,0,255,180,2.146,0.465983225,,
0.005,250,247,253,0,0.049,20.40816327,,
0.107,217.4,0,255,180,2.146,0.465983225,,
0.233,250.378,30,255,0,4.732,0.211327134,,
0.195,239.61,0,255,0,3.951,0.253100481,,
0.195,230.049,0,255,180,3.951,0.253100481,,
0.055,252.304,198,255,0,1.073,0.931966449,,
0.328,249.971,89,255,0,6.683,0.149633398,,
0.055,207.652,53,255,0,1.073,0.931966449,,
0.069,231.379,19,255,180,1.366,0.732064422,,
0.062,253.769,239,255,0,1.22,0.819672131,,
0.095,249.9,163,255,180,1.902,0.525762355,,
0.062,228.538,26,255,180,1.22,0.819672131,,
0.079,236.727,3,255,180,1.561,0.64061499,,
0.086,247.111,169,255,180,1.707,0.585823081,,
0.033,171.357,47,228,180,0.634,1.577287066,,
0.083,240.343,100,255,180,1.659,0.602772755,,
0.124,250.923,85,255,180,2.488,0.40192926,,
0.043,221.556,13,255,180,0.829,1.206272618,,
0.183,250.364,76,255,180,3.707,0.269759914,,
0.074,187.129,0,255,180,1.463,0.683526999,,
0.057,235.083,44,255,180,1.122,0.891265597,,
0.255,250.243,91,255,180,5.171,0.193386192,,
0.076,238.406,82,255,180,1.512,0.661375661,,
0.05,217.238,10,255,180,0.976,1.024590164,,
0.128,246.963,94,255,180,2.585,0.386847195,,
0.038,254.938,254,255,180,0.732,1.366120219,,
0.136,245.509,47,255,180,2.732,0.366032211,,
0.098,244.415,56,255,180,1.951,0.512557663,,
0.021,192.333,3,255,0,0.39,2.564102564,,
0.174,245.959,45,255,180,3.512,0.284738041,,
0.119,244.2,81,255,180,2.39,0.418410042,,
0.026,211.636,49,255,180,0.488,2.049180328,,
0.04,240.588,108,255,180,0.78,1.282051282,,
0.055,239.739,53,255,180,1.073,0.931966449,,
0.045,238.316,86,255,180,0.878,1.138952164,,
0.264,245.856,1,255,180,5.366,0.186358554,,
0.281,252.542,70,255,180,5.707,0.17522341,,
0.057,254.125,234,255,180,1.122,0.891265597,,
0.048,227.8,42,255,180,0.927,1.078748652,,
0.059,225.48,51,255,180,1.171,0.853970965,,
0.095,217.375,1,255,180,1.902,0.525762355,,
0.079,248.182,160,255,180,1.561,0.64061499,,
0.055,233.87,80,255,180,1.073,0.931966449,,
0.09,254.211,228,255,180,1.805,0.55401662,,
0.021,196.333,14,255,180,0.39,2.564102564,,
0.159,246.433,56,255,180,3.22,0.310559006,,
0.036,221.467,95,255,180,0.683,1.464128843,,
0.207,246.322,0,255,180,4.195,0.238379023,,
0.145,251.508,164,255,180,2.927,0.341646737,,
0.083,231.057,1,255,180,1.659,0.602772755,,
0.105,246.409,77,255,180,2.098,0.476644423,,
0.026,181.455,10,255,180,0.488,2.049180328,,
0.043,226.667,23,255,0,0.829,1.206272618,,
0.071,224.067,15,255,180,1.415,0.706713781,,
0.048,230.15,22,255,180,0.927,1.078748652,,
0.048,254.9,254,255,180,0.927,1.078748652,,
0.031,235.462,134,255,180,0.585,1.709401709,,
0.167,243.8,4,255,180,3.366,0.297088532,,
0.071,231.533,17,255,180,1.415,0.706713781,,
0.043,235.111,145,255,180,0.829,1.206272618,,
0.038,232.188,47,255,180,0.732,1.366120219,,
0.081,247.147,157,255,180,1.61,0.621118012,,
0.036,216.6,61,255,180,0.683,1.464128843,,
0.114,248.312,88,255,180,2.293,0.4361099,,
0.112,252.17,162,255,180,2.244,0.445632799,,
0.131,244.636,5,255,180,2.634,0.379650721,,
0.098,230.439,10,255,180,1.951,0.512557663,,
0.121,243.196,4,255,180,2.439,0.4100041,,
0.128,242.333,19,255,180,2.585,0.386847195,,
0.062,220.808,10,255,180,1.22,0.819672131,,
0.131,244.491,84,255,180,2.634,0.379650721,,
0.126,238.736,2,255,180,2.537,0.394166338,,
0.074,241.871,54,255,180,1.463,0.683526999,,
0.012,150.6,74,231,180,0.195,5.128205128,,
0.221,254.71,236,255,180,4.488,0.222816399,,
0.228,247.979,51,255,180,4.634,0.215796288,,
0.029,174.25,2,255,180,0.537,1.862197393,,
0.167,251.671,154,255,0,3.366,0.297088532,,
0.062,239.5,62,255,0,1.22,0.819672131,,
0.148,247.871,86,255,180,2.976,0.336021505,,
0.102,248.581,97,255,180,2.049,0.488042948,,
0.205,247.942,22,255,180,4.146,0.241196334,,
0.159,242.701,98,255,180,3.22,0.310559006,,
0.093,230.949,19,255,180,1.854,0.539374326,,
0.083,232.457,14,255,180,1.659,0.602772755,,
0.15,242.81,6,255,180,3.024,0.330687831,,
0.052,228.136,13,255,180,1.024,0.9765625,,
0.052,250.545,184,255,180,1.024,0.9765625,,
