 ,Area,Mean,Min,Max,Angle,Length
52,0.043,202.389,7,255,180.000,0.829
53,0.036,239.800,150,255,180.000,0.683
54,0.267,252.696,126,255,180.000,5.415
55,0.033,154.500,4,224,180.000,0.634
56,0.074,242.097,40,255,180.000,1.463
57,0.043,229.222,17,255,180.000,0.829
58,0.014,33.167,0,74,180.000,0.244
59,0.019,109.500,24,227,0.000,0.341
60,0.259,252.193,151,255,180.000,5.268
61,0.064,230.815,24,255,0.000,1.268
62,0.114,254.479,235,255,180.000,2.293
63,0.412,250.861,172,255,180.000,8.390
64,0.024,186.900,1,255,180.000,0.439
65,0.064,239.148,78,255,180.000,1.268
66,0.086,204.389,22,255,180.000,1.707
67,0.064,219.963,9,255,180.000,1.268
68,0.093,245.821,44,255,180.000,1.854
69,0.079,222.333,12,255,180.000,1.561
70,0.105,236.455,23,255,180.000,2.098
71,0.102,248.372,63,255,180.000,2.049
72,0.062,230.577,21,255,180.000,1.220
73,0.043,244.778,151,255,180.000,0.829
74,0.019,222.000,117,255,180.000,0.341
75,0.093,249.385,91,255,180.000,1.854
76,0.105,247.659,74,255,180.000,2.098
77,0.128,240.278,4,255,180.000,2.585
78,0.086,250.278,160,255,180.000,1.707
79,0.064,244.148,121,255,180.000,1.268
80,0.157,253.167,153,255,180.000,3.171
81,0.040,242.353,96,255,180.000,0.780
82,0.071,224.833,1,255,180.000,1.415
83,0.064,229.778,6,255,180.000,1.268
84,0.083,241.000,12,255,180.000,1.659
85,0.059,245.200,80,255,180.000,1.171
86,0.017,139.000,15,231,180.000,0.293
87,0.069,247.931,128,255,180.000,1.366
88,0.043,239.667,112,255,180.000,0.829
89,0.243,251.000,93,255,180.000,4.927
90,0.074,227.065,70,255,180.000,1.463
91,0.259,249.257,83,255,180.000,5.268
92,0.136,240.158,4,255,180.000,2.732
93,0.074,249.613,187,255,180.000,1.463
94,0.038,184.312,12,255,180.000,0.732
95,0.145,251.230,133,255,180.000,2.927
96,0.076,248.719,175,255,180.000,1.512
97,0.031,205.923,39,255,180.000,0.585
98,0.045,227.526,115,255,180.000,0.878
99,0.033,219.000,69,255,180.000,0.634
100,0.286,248.925,68,255,180.000,5.805
101,0.062,177.423,68,242,180.000,1.220
102,0.083,234.943,4,255,180.000,1.659
103,0.026,206.727,37,255,180.000,0.488
104,0.109,239.891,2,255,180.000,2.195
105,0.069,253.069,221,255,180.000,1.366
106,0.024,120.800,42,190,180.000,0.439
107,0.202,236.624,87,255,0.000,4.098
108,0.176,243.757,18,255,0.000,3.561
109,0.086,227.306,96,255,0.000,1.707
1,0.109,254.500,237,255,0,2.195
2,0.128,245.204,48,255,180,2.585
3,0.086,241.694,114,255,180,1.707
4,0.045,245.316,153,255,0,0.878
5,0.059,232.960,49,255,180,1.171
6,0.083,238.086,73,255,180,1.659
7,0.067,233.250,34,255,180,1.317
8,0.059,208.040,17,255,180,1.171
9,0.102,240.140,25,255,180,2.049
10,0.019,172.625,1,255,180,0.341
11,0.136,244.772,60,255,180,2.732
12,0.095,233.525,16,255,180,1.902
13,0.024,171.300,19,255,180,0.439
14,0.033,226.643,110,255,180,0.634
15,0.055,229.348,88,255,180,1.073
16,0.057,247.833,172,255,180,1.122
17,0.214,246.667,28,255,180,4.341
18,0.093,252.590,211,255,180,1.854
19,0.162,251.103,104,255,180,3.268
20,0.100,249.286,158,255,180,2.000
21,0.064,243.407,65,255,180,1.268
22,0.062,239.346,151,255,180,1.220
23,0.031,244.308,193,255,180,0.585
24,0.021,221.778,110,255,0,0.390
25,0.100,243.214,112,255,180,2.000
26,0.045,173.053,10,254,180,0.878
27,0.033,199.429,55,255,180,0.634
28,0.247,248.144,27,255,180,5.024
29,0.121,252.667,164,255,180,2.439
30,0.271,252.956,169,255,0,5.512
31,0.100,245.881,99,255,180,2.000
32,0.050,234.762,87,255,180,0.976
33,0.033,187.214,32,255,180,0.634
34,0.045,201.526,15,255,180,0.878
35,0.033,236.071,92,255,180,0.634
36,0.088,238.811,36,255,180,1.756
37,0.090,248.658,104,255,180,1.805
38,0.093,229.923,2,255,180,1.854
39,0.045,219.211,64,255,180,0.878
40,0.059,231.680,118,255,180,1.171
41,0.069,225.655,6,255,180,1.366
42,0.043,218.056,23,255,180,0.829
43,0.062,222.692,28,255,180,1.220
44,0.214,248.211,51,255,180,4.341
45,0.109,249.543,93,255,180,2.195
46,0.247,250.577,48,255,180,5.024
47,0.045,239.579,121,255,180,0.878
48,0.045,205.316,16,255,180,0.878
49,0.214,246.700,38,255,180,4.341
50,0.133,235.304,39,255,180,2.683
51,0.052,252.636,209,255,0,1.024
52,0.074,243.968,73,255,180,1.463
53,0.293,250.488,57,255,180,5.951
54,0.071,224.300,4,255,180,1.415
55,0.124,249.654,111,255,180,2.488
56,0.021,125.111,6,241,180,0.390
57,0.231,250.763,62,255,180,4.683
58,0.081,234.471,3,255,180,1.610
59,0.117,235.755,17,255,180,2.341
60,0.102,248.698,93,255,180,2.049
61,0.071,226.267,22,255,180,1.415
62,0.021,204.333,87,255,180,0.390
63,0.050,221.857,63,255,180,0.976
64,0.036,188.467,36,255,180,0.683
65,0.067,207.357,0,255,180,1.317
66,0.095,250.275,212,255,180,1.902
